"","Año","Entidad","Sexo","TOTHOM_INEGI"
"224",2017,"San Luis Potosí","Mujer",51
"225",2017,"San Luis Potosí","No especificado",1
"226",2017,"Sinaloa","Hombre",1522
"227",2017,"Sinaloa","Mujer",84
"228",2017,"Sinaloa","No especificado",2
"229",2017,"Sonora","Hombre",690
"230",2017,"Sonora","Mujer",62
"231",2017,"Sonora","No especificado",4
"232",2017,"Tabasco","Hombre",404
"233",2017,"Tabasco","Mujer",44
"234",2017,"Tabasco","No especificado",2
"235",2017,"Tamaulipas","Hombre",1055
"236",2017,"Tamaulipas","Mujer",141
"237",2017,"Tamaulipas","No especificado",17
"238",2017,"Tlaxcala","Hombre",110
"239",2017,"Tlaxcala","Mujer",20
"240",2017,"Veracruz","Hombre",1603
"241",2017,"Veracruz","Mujer",197
"242",2017,"Veracruz","No especificado",9
"243",2017,"Yucatán","Hombre",39
"244",2017,"Yucatán","Mujer",13
"245",2017,"Zacatecas","Hombre",591
"246",2017,"Zacatecas","Mujer",96
"247",2017,NA,"Hombre",345
"248",2017,NA,"Mujer",48
"249",2017,NA,"No especificado",19
"250",2018,"Aguascalientes","Hombre",68
"251",2018,"Aguascalientes","Mujer",8
"252",2018,"Baja California","Hombre",2591
"253",2018,"Baja California","Mujer",276
"254",2018,"Baja California","No especificado",45
"255",2018,"Baja California Sur","Hombre",151
"256",2018,"Baja California Sur","Mujer",24
"257",2018,"Campeche","Hombre",61
"258",2018,"Campeche","Mujer",12
"259",2018,"Chiapas","Hombre",473
"260",2018,"Chiapas","Mujer",46
"261",2018,"Chihuahua","Hombre",2452
"262",2018,"Chihuahua","Mujer",256
"263",2018,"Chihuahua","No especificado",2
"264",2018,"Ciudad de México","Hombre",1311
"265",2018,"Ciudad de México","Mujer",138
"266",2018,"Coahuila","Hombre",196
"267",2018,"Coahuila","Mujer",25
"268",2018,"Colima","Hombre",646
"269",2018,"Colima","Mujer",98
"270",2018,"Durango","Hombre",127
"271",2018,"Durango","Mujer",20
"272",2018,"Guanajuato","Hombre",3074
"273",2018,"Guanajuato","Mujer",355
"274",2018,"Guanajuato","No especificado",7
"275",2018,"Guerrero","Hombre",1914
"276",2018,"Guerrero","Mujer",226
"277",2018,"Guerrero","No especificado",1
"278",2018,"Hidalgo","Hombre",260
"279",2018,"Hidalgo","Mujer",47
"280",2018,"Hidalgo","No especificado",2
"281",2018,"Jalisco","Hombre",2385
"282",2018,"Jalisco","Mujer",265
"283",2018,"Jalisco","No especificado",18
"284",2018,"México","Hombre",2692
"285",2018,"México","Mujer",469
"286",2018,"México","No especificado",4
"287",2018,"Michoacán","Hombre",1795
"288",2018,"Michoacán","Mujer",181
"289",2018,"Michoacán","No especificado",7
"290",2018,"Morelos","Hombre",732
"291",2018,"Morelos","Mujer",81
"292",2018,"Morelos","No especificado",4
"293",2018,"Nayarit","Hombre",315
"294",2018,"Nayarit","Mujer",36
"295",2018,"Nayarit","No especificado",1
"296",2018,"Nuevo León","Hombre",750
"297",2018,"Nuevo León","Mujer",88
"298",2018,"Oaxaca","Hombre",925
"299",2018,"Oaxaca","Mujer",122
"300",2018,"Puebla","Hombre",1047
"301",2018,"Puebla","Mujer",127
"302",2018,"Querétaro","Hombre",204
"303",2018,"Querétaro","Mujer",31
"304",2018,"Quintana Roo","Hombre",741
"305",2018,"Quintana Roo","Mujer",88
"306",2018,"San Luis Potosí","Hombre",471
"307",2018,"San Luis Potosí","Mujer",55
"308",2018,"Sinaloa","Hombre",1073
"309",2018,"Sinaloa","Mujer",46
"310",2018,"Sinaloa","No especificado",1
"311",2018,"Sonora","Hombre",848
"312",2018,"Sonora","Mujer",63
"313",2018,"Sonora","No especificado",1
"314",2018,"Tabasco","Hombre",481
"315",2018,"Tabasco","Mujer",49
"316",2018,"Tamaulipas","Hombre",913
"317",2018,"Tamaulipas","Mujer",114
"318",2018,"Tamaulipas","No especificado",4
"319",2018,"Tlaxcala","Hombre",122
"320",2018,"Tlaxcala","Mujer",19
"321",2018,"Tlaxcala","No especificado",1
"322",2018,"Veracruz","Hombre",1307
"323",2018,"Veracruz","Mujer",138
"324",2018,"Veracruz","No especificado",2
"325",2018,"Yucatán","Hombre",49
"326",2018,"Yucatán","Mujer",9
"327",2018,"Zacatecas","Hombre",596
"328",2018,"Zacatecas","Mujer",94
"329",2018,"Zacatecas","No especificado",3
"330",2018,NA,"Hombre",1805
"331",2018,NA,"Mujer",163
"332",2018,NA,"No especificado",38
"333",2019,"Aguascalientes","Hombre",88
"334",2019,"Aguascalientes","Mujer",7
"335",2019,"Baja California","Hombre",2373
"336",2019,"Baja California","Mujer",260
"337",2019,"Baja California","No especificado",81
"338",2019,"Baja California Sur","Hombre",72
"339",2019,"Baja California Sur","Mujer",13
"340",2019,"Campeche","Hombre",69
"341",2019,"Campeche","Mujer",10
"342",2019,"Chiapas","Hombre",547
"343",2019,"Chiapas","Mujer",71
"344",2019,"Chihuahua","Hombre",2351
"345",2019,"Chihuahua","Mujer",270
"346",2019,"Chihuahua","No especificado",1
"347",2019,"Ciudad de México","Hombre",1136
"348",2019,"Ciudad de México","Mujer",145
"349",2019,"Coahuila","Hombre",229
"350",2019,"Coahuila","Mujer",45
"351",2019,"Colima","Hombre",598
"352",2019,"Colima","Mujer",79
"353",2019,"Durango","Hombre",141
"354",2019,"Durango","Mujer",21
"355",2019,"Guanajuato","Hombre",3445
"356",2019,"Guanajuato","Mujer",409
"357",2019,"Guanajuato","No especificado",21
"358",2019,"Guerrero","Hombre",1640
"359",2019,"Guerrero","Mujer",189
"360",2019,"Guerrero","No especificado",4
"361",2019,"Hidalgo","Hombre",396
"362",2019,"Hidalgo","Mujer",63
"363",2019,"Jalisco","Hombre",2211
"364",2019,"Jalisco","Mujer",254
"365",2019,"Jalisco","No especificado",1
"366",2019,"México","Hombre",2735
"367",2019,"México","Mujer",458
"368",2019,"México","No especificado",3
"369",2019,"Michoacán","Hombre",2201
"370",2019,"Michoacán","Mujer",188
"371",2019,"Morelos","Hombre",944
