"","Año","Entidad","Sexo","POBTOT","TOTHOM","TOTHOM_INEGI"
"191",2017,"Zacatecas","Hombre",798510,538,591
"192",2017,"Zacatecas","Mujer",824817,120,96
"193",2018,"Aguascalientes","Hombre",682473,73,68
"194",2018,"Aguascalientes","Mujer",703404,4,8
"195",2018,"Baja California","Hombre",1745935,2798,2591
"196",2018,"Baja California","Mujer",1746359,278,276
"197",2018,"Baja California Sur","Hombre",388060,158,151
"198",2018,"Baja California Sur","Mujer",374710,25,24
"199",2018,"Campeche","Hombre",473756,63,61
"200",2018,"Campeche","Mujer",485096,9,12
"201",2018,"Chiapas","Hombre",2703912,560,473
"202",2018,"Chiapas","Mujer",2817735,35,46
"203",2018,"Chihuahua","Hombre",1840095,2027,2452
"204",2018,"Chihuahua","Mujer",1868901,172,256
"205",2018,"Ciudad de México","Hombre",4322958,1428,1311
"206",2018,"Ciudad de México","Mujer",4722761,140,138
"207",2018,"Coahuila","Hombre",1552029,230,196
"208",2018,"Coahuila","Mujer",1557915,15,25
"209",2018,"Colima","Hombre",374794,639,646
"210",2018,"Colima","Mujer",379164,67,98
"211",2018,"Durango","Hombre",902254,165,127
"212",2018,"Durango","Mujer",925818,17,20
"213",2018,"Guanajuato","Hombre",2969156,2984,3074
"214",2018,"Guanajuato","Mujer",3119267,305,355
"215",2018,"Guerrero","Hombre",1753955,2242,1914
"216",2018,"Guerrero","Mujer",1868400,227,226
"217",2018,"Hidalgo","Hombre",1447696,202,260
"218",2018,"Hidalgo","Mujer",1548067,28,47
"219",2018,"Jalisco","Hombre",4041164,2197,2385
"220",2018,"Jalisco","Mujer",4153820,204,265
"221",2018,"México","Hombre",8284094,2349,2692
"222",2018,"México","Mujer",8676349,286,469
"223",2018,"Michoacán","Hombre",2303531,1448,1795
"224",2018,"Michoacán","Mujer",2436262,152,181
"225",2018,"Morelos","Hombre",964532,726,732
"226",2018,"Morelos","Mujer",1024770,54,81
"227",2018,"Nayarit","Hombre",621301,338,315
"228",2018,"Nayarit","Mujer",621804,45,36
"229",2018,"Nuevo León","Hombre",2707467,732,750
"230",2018,"Nuevo León","Mujer",2707851,14,88
"231",2018,"Oaxaca","Hombre",1961190,1045,925
"232",2018,"Oaxaca","Mujer",2123643,96,122
"233",2018,"Puebla","Hombre",3105441,1169,1047
"234",2018,"Puebla","Mujer",3341069,108,127
"235",2018,"Querétaro","Hombre",1073246,181,204
"236",2018,"Querétaro","Mujer",1103885,22,31
"237",2018,"Quintana Roo","Hombre",819624,556,741
"238",2018,"Quintana Roo","Mujer",805775,58,88
"239",2018,"San Luis Potosí","Hombre",1374330,481,471
"240",2018,"San Luis Potosí","Mujer",1440223,27,55
"241",2018,"Sinaloa","Hombre",1536635,1072,1073
"242",2018,"Sinaloa","Mujer",1554531,0,46
"243",2018,"Sonora","Hombre",1482595,816,848
"244",2018,"Sonora","Mujer",1498549,33,63
"245",2018,"Tabasco","Hombre",1232642,510,481
"246",2018,"Tabasco","Mujer",1268803,25,49
"247",2018,"Tamaulipas","Hombre",1770050,938,913
"248",2018,"Tamaulipas","Mujer",1804936,110,114
"249",2018,"Tlaxcala","Hombre",652950,110,122
"250",2018,"Tlaxcala","Mujer",686739,17,19
"251",2018,"Veracruz","Hombre",4083838,1545,1307
"252",2018,"Veracruz","Mujer",4322326,112,138
"253",2018,"Yucatán","Hombre",1082457,47,49
"254",2018,"Yucatán","Mujer",1112815,1,9
"255",2018,"Zacatecas","Hombre",804572,591,596
"256",2018,"Zacatecas","Mujer",831565,74,94
"257",2019,"Aguascalientes","Hombre",692276,94,88
"258",2019,"Aguascalientes","Mujer",713349,7,7
"259",2019,"Baja California","Hombre",1774238,2562,2373
"260",2019,"Baja California","Mujer",1775841,239,260
"261",2019,"Baja California Sur","Hombre",396545,69,72
"262",2019,"Baja California Sur","Mujer",383181,13,13
"263",2019,"Campeche","Hombre",482163,73,69
"264",2019,"Campeche","Mujer",493522,3,10
"265",2019,"Chiapas","Hombre",2744260,518,547
"266",2019,"Chiapas","Mujer",2861705,54,71
"267",2019,"Chihuahua","Hombre",1858230,2309,2351
"268",2019,"Chihuahua","Mujer",1888635,245,270
"269",2019,"Ciudad de México","Hombre",4317838,1424,1136
"270",2019,"Ciudad de México","Mujer",4719120,120,145
"271",2019,"Coahuila","Hombre",1573671,266,229
"272",2019,"Coahuila","Mujer",1580313,22,45
"273",2019,"Colima","Hombre",381311,662,598
"274",2019,"Colima","Mujer",385284,82,79
"275",2019,"Durango","Hombre",910249,157,141
"276",2019,"Durango","Mujer",934488,10,21
"277",2019,"Guanajuato","Hombre",2997259,3167,3445
"278",2019,"Guanajuato","Mujer",3148613,322,409
"279",2019,"Guerrero","Hombre",1760969,1619,1640
"280",2019,"Guerrero","Mujer",1876024,171,189
"281",2019,"Hidalgo","Hombre",1465471,272,396
"282",2019,"Hidalgo","Mujer",1567179,39,63
"283",2019,"Jalisco","Hombre",4084253,2335,2211
"284",2019,"Jalisco","Mujer",4198639,218,254
"285",2019,"México","Hombre",8378968,2522,2735
"286",2019,"México","Mujer",8773809,321,458
"287",2019,"Michoacán","Hombre",2321175,1879,2201
"288",2019,"Michoacán","Mujer",2453877,174,188
"289",2019,"Morelos","Hombre",975664,941,944
"290",2019,"Morelos","Mujer",1035984,66,98
"291",2019,"Nayarit","Hombre",630593,153,164
"292",2019,"Nayarit","Mujer",630932,15,19
"293",2019,"Nuevo León","Hombre",2746641,853,873
"294",2019,"Nuevo León","Mujer",2747642,36,98
"295",2019,"Oaxaca","Hombre",1972615,1050,992
"296",2019,"Oaxaca","Mujer",2136454,116,134
"297",2019,"Puebla","Hombre",3136907,1113,1120
"298",2019,"Puebla","Mujer",3374108,68,123
"299",2019,"Querétaro","Hombre",1093917,180,188
"300",2019,"Querétaro","Mujer",1124721,12,25
"301",2019,"Quintana Roo","Hombre",839841,625,640
"302",2019,"Quintana Roo","Mujer",825132,64,72
"303",2019,"San Luis Potosí","Hombre",1384476,470,445
"304",2019,"San Luis Potosí","Mujer",1451175,22,47
"305",2019,"Sinaloa","Hombre",1549658,891,1026
"306",2019,"Sinaloa","Mujer",1568277,5,57
"307",2019,"Sonora","Hombre",1501269,1201,1197
"308",2019,"Sonora","Mujer",1517737,76,111
"309",2019,"Tabasco","Hombre",1246492,619,597
